path,category,sha256,size_bytes,redistribution_class,contains_source_values,included,reason
figures/appendix_figure_a1_neural_ablations.png,SAFE_AGGREGATE_FIGURE,de6b85cb0b2d59ed1ebb9675102c26a5572058c6fce6ab88bb47288cc875d184,671486,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/appendix_figure_a1_neural_ablations.svg,SAFE_AGGREGATE_FIGURE,87c4d450c5f0834245061d99946b45570fb49af8b70b51cb47bd46a972e6e9eb,43961,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_2_temporal_evaluation_design.pdf,SAFE_AGGREGATE_FIGURE,5b00ad75a4f4c619f67601a6e8e63729e5a367e481300e8510921f8330c18484,124578,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_2_temporal_evaluation_design.png,SAFE_AGGREGATE_FIGURE,64434ebf8fb13a4b7636a789a5ec40dd7f9e9c96ab184a3ffbf6bec9922de0bb,691391,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_2_temporal_evaluation_design.svg,SAFE_AGGREGATE_FIGURE,442e2c3c27561e154005231a29fc07702081b669323edac4f9f4bf48ab29a078,65858,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_3_primary_predictive_performance.pdf,SAFE_AGGREGATE_FIGURE,5021afe85f6ad81f43ce4aeff4010f8c7fb5e06717a33b19fcd7d4630a490ad0,126981,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_3_primary_predictive_performance.png,SAFE_AGGREGATE_FIGURE,811307e204ad3f4100a485f7f323cae7b8a5a26c9585efe3ea3a6a7cae6d8059,723056,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_3_primary_predictive_performance.svg,SAFE_AGGREGATE_FIGURE,c9d36ebe69d69ad6bbafff485d7c0a3e2cb70742c5db33a5f0c0a5c9db39f88d,44325,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_4_interval_coverage.pdf,SAFE_AGGREGATE_FIGURE,3ff902236b261b5e550281d3f079327c5c1a8c6a2e85e19b2b925414c4d3078f,95711,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_4_interval_coverage.png,SAFE_AGGREGATE_FIGURE,62a6dc9466335cd566d3af3d8cff5603b5389166dbd8572d958e1f6cf2f7b72d,1141000,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
figures/figure_4_interval_coverage.svg,SAFE_AGGREGATE_FIGURE,16659d4480152160a55f037da842a88c59e9f8f5a0603ce4ffd4f3c0c02ae987,117338,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
provenance/source_manifest_public.csv,VALUE_FREE_PROVENANCE,a919631b19c0dd766a4c702f0e623052dfdfec0d25f6d626da33de738313c86d,2201,VALUE_FREE_PROVENANCE,NO,YES,"Source identity, hashes, filters, access, and licensing status only"
pytest.ini,SOFTWARE_ENVIRONMENT,b160d82f7811555051f8966d8e02750a985227c1d022208c784e606946f2eada,42,SOFTWARE_ENVIRONMENT,NO,YES,Dependency or sanitized execution-environment metadata
requirements-phase2b-lock.txt,SOFTWARE_ENVIRONMENT,ed8eaff8d8104883ffa075b1b831000730f9bede472e235cc49ce56970a5b088,741,SOFTWARE_ENVIRONMENT,NO,YES,Dependency or sanitized execution-environment metadata
requirements.txt,SOFTWARE_ENVIRONMENT,640f708e2f9253e1f35a74b050c41a6acdf869e6a5edc0f26d328dfa39d23cac,113,SOFTWARE_ENVIRONMENT,NO,YES,Dependency or sanitized execution-environment metadata
results/round2/ablation_results.csv,SAFE_AGGREGATE_RESULT,f8cfc046d17fcc4da1721458e5ce31a8647424964d3318c483d97a8ad1dc99ad,6821,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/inference.csv,SAFE_AGGREGATE_RESULT,c9310c53b787c378d21fecf68d6412b07e5c8f5606d3b2127ae4eb32e99c6445,6085,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/interval_coverage.csv,SAFE_AGGREGATE_RESULT,f5c920d9b5d44db7f993fac8783d7485514699bf5bba7f96c26e7697f39a46c0,57509,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/metrics_summary.csv,SAFE_AGGREGATE_RESULT,18928b8c85ce98a7998d4dcf106d90118e4c279cb83d95948fec6950609f2142,39538,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/primary_rankings.csv,SAFE_AGGREGATE_RESULT,ffad06b3c7d35e571931d09495b155f9885c9ebca7d055e9af740e0f992fc51b,42062,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/tables/table_computational_cost.csv,SAFE_AGGREGATE_RESULT,39b02668ea515969371b264bd44977541941d2d5a533256a54a3e8e986180487,676,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/tables/table_interval_coverage_summary.csv,SAFE_AGGREGATE_RESULT,ffa9637c3a1fd5eaa2420cbb320258bc03ece9065e3d0a02002260b24d14b521,1162,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/tables/table_winner_interval_coverage.csv,SAFE_AGGREGATE_RESULT,6eac5769519f27a310da4f63461c9fba075675879d29f68911a4910ffd9d9c51,1459,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
results/round2/timing_summary.json,SAFE_AGGREGATE_RESULT,89e37c20643684fe19d733bf4ea93a466875b3d599c9880cf466f3bcc1cc218c,9134,SAFE_AGGREGATE_RESULT,NO,YES,Inspected aggregate output; no exact annual source observation found
scripts/reconstruct_round2_official_data.py,MIT_SOFTWARE,234e6fac0fc1c211cc6ca3bbfc018dee3e88df15eeb54a66095db3d2b7448703,9700,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
scripts/round2_figures/generate_round2_figures.py,MIT_SOFTWARE,2cc424b9aef113f0c5a0d39ab3ca6fb1f5455e9424312722a96df4054d367d3c,44865,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
scripts/round2_figures/validate_round2_figures.py,MIT_SOFTWARE,2dffcb217f33d05424d51e94324814d93ae1823a49055e0cba02e266b59e3ad7,7170,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
scripts/round2_phase2b1_coverage_reporting.py,MIT_SOFTWARE,881112b12b7cc493db00be4001bd65c97898f9c540bfb120def725cb8a6521e8,14437,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/__init__.py,MIT_SOFTWARE,0c5fd989820870aaa667faa96885bbd001fc4fb455257c0fc1abf3d37c7dc41a,87,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/data_loader.py,MIT_SOFTWARE,f13f6638333998e1eee81e440b46d2e4cb258867b519a9e31bed9c9ce77769d5,2161,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/data_validation.py,MIT_SOFTWARE,e9482b0a5e530ac497d7a5145179550052ae607b1d841e519cc3500ca02ec1a7,9211,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/deep_learning/__init__.py,MIT_SOFTWARE,c4ba11d5567376e18b176bfb8d7b6be6073cc985644d1efc2c77baaf4812a0cb,291,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/deep_learning/architectures.py,MIT_SOFTWARE,a176ca151dda09faf6e61634fcef16c02de8ec1b0072cc99a244d05ce68dbece,4846,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/deep_learning/datasets.py,MIT_SOFTWARE,8386364808b3535a33f51010177f8a8daa9664803284e87a1bd6410746bd5819,2287,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/deep_learning/determinism.py,MIT_SOFTWARE,416297e9b9313741c67506822959ec4bfe3c8ff75959f10b62644c1925974160,1090,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/deep_learning/parameter_audit.py,MIT_SOFTWARE,2d664a3deb5a4dc77afd1b2cc0cf62d9d0c5ce817c194bf79f072670bee4563a,504,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/deep_learning/training.py,MIT_SOFTWARE,e25b3e82a7a9188c8640d9692346fcd7ae1b42be747361ed9087d1a07fec64a9,5504,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/evaluation/__init__.py,MIT_SOFTWARE,7cd7da92056b4f574123611235c838e2f2078843f830034713261372df9eb5e6,283,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/evaluation/aggregation.py,MIT_SOFTWARE,d47bb59997e3fd8f9316dc6896f161f13c32496a4cc1185219c8cc1c67542d8b,3663,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/evaluation/intervals.py,MIT_SOFTWARE,f0c93654472cfb14128595031787c3e914999bf5a6447fd3597a4c7af16bb12a,3463,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/evaluation/metrics.py,MIT_SOFTWARE,7d7cf82d44de9c7ae788d295cbf94ecc5d37db46a15e2c8bbb5ff77524d3a047,2444,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/evaluation/statistical_tests.py,MIT_SOFTWARE,8b34ce550d65431c593c161c8b806940ead2dee8fd63b0ae8c313f5088f55809,9255,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/features/__init__.py,MIT_SOFTWARE,6570f2499a6d9f98e5e0363d51b60fce72d9f2a3cc08aa02cd241cf71d2b5aac,283,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/features/scaling.py,MIT_SOFTWARE,8b1a19049527d926ac93d2ce9f4df4f4f7e89e736c894e8bec0bfbea0a2d6fbf,568,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/features/supervised.py,MIT_SOFTWARE,d60915bc1ef5344e6f065db0190e6bfdd08192a389ac9458e705f71a6bcb28f0,4677,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/features/transformations.py,MIT_SOFTWARE,914162234cabed4b2d7ec442027cfaeb7a4a9672206f26948f2ef1003e8f28f2,1266,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/__init__.py,MIT_SOFTWARE,ac953c580e67fb2e98a79d75fa514f256e3834920a903a32eb95d9ad33e55f2d,412,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/arima.py,MIT_SOFTWARE,9cbc6e16e8683dc6f6332a546407a867f788e26c8e1be53fa770bb74f846d08a,6924,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/base.py,MIT_SOFTWARE,844a1420742892ab1586c92849998c62ebc06b561f1a7884cbc6185815e44a89,3143,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/conformal.py,MIT_SOFTWARE,26b5df2161a858f93453cf10244dc1b99cf39183a38db082627f6efd224e70d2,1004,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/drift.py,MIT_SOFTWARE,9fe31a1ebc1f199fa20f33ab9e8ddab122c765dd654c930f1dea15f6a337c72f,1607,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/ets.py,MIT_SOFTWARE,917eb7271668afc494c7be57324634b5519c47a291c6924dd9693f4b3e98976a,6312,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/linear_trend.py,MIT_SOFTWARE,ee18719a62cbea80aaca0ae737cab2590683827b849437c991b2749c2adf24a7,2653,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/naive.py,MIT_SOFTWARE,741ee841da8d2a3eefc2d6bc2b191c9aff0002dbebffd85a33e7dc9387a4e440,1446,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/random_forest.py,MIT_SOFTWARE,885e20da3eb7b52b98b55aa0abb01cabb30b4144cf2ba9dd9a3d1ae639bf2872,248,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/svr.py,MIT_SOFTWARE,babb3dfd514a5439a8d9b35b31e885861b34c92807c9dcbc106ed50be51a3148,140,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/theta.py,MIT_SOFTWARE,3396c1dd8a9ed93d2c42298055228ab5fa4e48160e8b3908a8abb9466ee5ccc5,4063,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/forecasting/xgboost_model.py,MIT_SOFTWARE,27e3d7324699fcc48752dd0771c921f9976fca11bf8895297355cbe4ff2f51a7,226,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/paths.py,MIT_SOFTWARE,905d432b57226167216ac667b2eb05343ea0117fa6f3451f683adac24f67a349,2108,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/phase2b_engine.py,MIT_SOFTWARE,f5637c62ea0761b8de5b0950a65ae79e82790cd81bfa898616bb74ffad4df4cd,20475,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/round2_phase2b.py,MIT_SOFTWARE,41f4006821c31b59673b6457afa63662ea6b87bf2ffd8e6fd885227601861b35,112831,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/tuning/__init__.py,MIT_SOFTWARE,28f5769b4a00c5c65761f93e9a38ff6f5cb8c0feec63073a5743e2ec9bfbb2f8,234,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/tuning/forward_search.py,MIT_SOFTWARE,0e3797b12f95094ff7d9f5259b25faf30e927bdc09ceab6ce78e6b1de824b66a,1068,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
src/tuning/inner_origins.py,MIT_SOFTWARE,5860b7fc3beb0cce957cb7e4783473168210a0e5572d2a9551f1682c84f694fe,500,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_directional_accuracy.py,MIT_SOFTWARE,08a996208b9a47dd1712b2c3f6638da91e10ea4158c884abdbdbd9b0f006d914,406,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_dl_direct_target_alignment.py,MIT_SOFTWARE,c5e181ab74c747f4013786c44877cf2120d5474c3481f4043f8038f6b15bcaed,392,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_dl_parameter_counts.py,MIT_SOFTWARE,9ebb4396de1b15bace958bc2cbc2898b0877439b9b581450ce06adfeb1a72dd7,741,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_dl_scaler_leakage.py,MIT_SOFTWARE,682504735cb22870b33ed7afb5321f4971cb805941505652bf9ec133826d7d20,518,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_dl_transformations.py,MIT_SOFTWARE,eff9b384bbd014b6de9139b0230477dc02662f74772050c3645f56d65f5be7b0,529,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_interval_metrics.py,MIT_SOFTWARE,0b48b1efdeeea49385e4af22c8e84ff95889b396339faec95834d7e3f09fa6c8,352,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_mase_rmsse.py,MIT_SOFTWARE,0e4f3ca395e2d9cc3a24abc9d8cc4d224b380122167a5a905da5d239b87835ef,477,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_multihorizon_metrics.py,MIT_SOFTWARE,0f94fd1b28ef6033e34014c0e2e25cecb0d19613b1769eb907171cc3f8d6e476,445,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_conformal.py,MIT_SOFTWARE,eb4869f48d1a01a289327973acf566a088e9906aebb9559476efab2b50f0d1b2,342,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_inner_origins.py,MIT_SOFTWARE,7d84a85450896d7a5432a61db78be5f7687003a5c1a5978a3c834496497021d1,252,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_models.py,MIT_SOFTWARE,ad697cf279050f5980e316a8df54dd5128ded2cbcdab04fe3063e776c2e54118,429,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_no_future_leakage.py,MIT_SOFTWARE,02ffe3409d31b51da13ac7f795adbe33f82f044a61f18a4d6f0f6dcf1f748a27,505,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_scaling.py,MIT_SOFTWARE,2896b3870c248a2294af630a8c29a47ddd6139a048dfdc5b951952acb1c9ab74,352,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_supervised_samples.py,MIT_SOFTWARE,63034887dd5a4d87a175c629722989d9f8b07387adaf28e799da097d9996b87d,388,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_tie_breaking.py,MIT_SOFTWARE,709d9470440a55f7c5bf8ec5f365fde8f3d70d1001429fff9ccacb3d484edae1,263,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
tests/test_phase2b_transformations.py,MIT_SOFTWARE,798fd54458b575133997d98ca02797608090745057fce18cfc8879d460da4aac,654,MIT_SOFTWARE,NO,YES,Original source code or test; inspected for embedded source values
